number of clusters = 1
Cluster 0 (276) : 
0: Input vars: (0x6), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 
38: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

39: Input vars: (0xc), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

40: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

41: Input vars: 8-to-32S(0x4), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

42: Input vars: 1-to-32Z(0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

43: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

44: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

45: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

46: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

47: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

48: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

49: Input vars: (0x7), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

50: Input vars: (0xb), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

51: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

52: Input vars: (0x4), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

53: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

54: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

55: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

56: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

57: Input vars: (0xb), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

58: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

59: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

60: Input vars: 16-to-32S(0x4), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

61: Input vars: 1-to-32Z(0x7), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

