number of clusters = 909
Cluster 0 (10) : 
0: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 
3552: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

3561: Input vars: const(0x0), const(0x2), 32-to-32C(0xc), 32-to-1(0x3), and (0x0) 

3626: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

3628: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

3813: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

3816: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

3829: Input vars: const(0x0), (0xc), const(0x80000002), const(0x80000004), and (0x0) 

3830: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

3879: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

3989: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

3991: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

3993: Input vars: const(0x0), (0xc), const(0x2), const(0x80000001), and (0x0) 

4001: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

4060: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

4125: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

4128: Input vars: const(0x0), (0xc), const(0x2), const(0x80000001), and (0x0) 

4133: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

4138: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

4274: Input vars: const(0x0), (0xc), const(0x80000002), (0x0), and (0x0) 

4277: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

4281: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

4395: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

4401: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

4413: Input vars: const(0x0), (0xc), const(0x2), (0x4), and (0x0) 

4565: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

4571: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

4575: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

4706: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

4708: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

4709: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

4711: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

4715: Input vars: const(0x0), (0xc), const(0x2), const(0x80000001), and (0x0) 

4717: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

4893: Input vars: const(0x0), 32-to-32C(0xc), const(0x2), const(0x1), and (0x0) 

4909: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Cluster 3 (17) : 
3: Input vars: (0x7), const(0x40), const(0x1), const(0x41), and (0x0) 

322: Input vars: (0x7), const(0x939c6b40), const(0x3f561a25), const(0x939c6b41), and (0x0) 

1034: Input vars: 32-to-32C(0x7), const(0x78fa8d9e), const(0x200005e0), const(0x78fa8d9f), and (0x0) 

1226: Input vars: (0x7), const(0xadf4b620), const(0x3ba706a2), const(0xadf4b621), and (0x0) 

1233: Input vars: (0x7), const(0x81aa4fc0), const(0x3c9fc6bf), const(0x81aa4fc1), and (0x0) 

1552: Input vars: (0x7), const(0x80000010), const(0x4), const(0x80000011), and (0x0) 

2361: Input vars: 32-to-32C(0x7), const(0x40), const(0x2000001), const(0x41), and (0x0) 

2644: Input vars: 32-to-32C(0x7), const(0x80ba2e8c), const(0xb0), const(0x80ba2e8d), and (0x0) 

3499: Input vars: 32-to-32C(0x7), const(0x1ba0c9e0), const(0x20a15e), const(0x1ba0c9e1), and (0x0) 

3818: Input vars: 32-to-32C(0x7), const(0x40), const(0x2000001), const(0x41), and (0x0) 

4292: Input vars: 32-to-32C(0x7), const(0x80000040), const(0x1), const(0x80000041), and (0x0) 

4403: Input vars: (0x7), const(0x15ee9b10), const(0x32b6fd44), const(0x15ee9b11), and (0x0) 

4405: Input vars: 32-to-32C(0x7), const(0x7b99999a), const(0x200000a0), const(0x7b99999b), and (0x0) 

4415: Input vars: 32-to-32C(0x7), const(0x82d9a696), const(0x88d3cc60), const(0x82d9a697), and (0x0) 

