number of clusters = 18
Cluster 0 (54) : 
42: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

43: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

44: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

45: Input vars: const(0x0), 32-to-32C(0xc), and 1-to-32S(0x0) 

49: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

50: Input vars: (0x0), const(0xffffffff), and 1-to-32S(0x0) 

51: Input vars: const(0x0), 32-to-32C(0x8), and 1-to-32S(0x0) 

52: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

54: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

55: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

56: Input vars: const(0x0), 32-to-32C(0x7), and 1-to-32S(0x0) 

60: Input vars: const(0x0), 32-to-32C(0xb), and 1-to-32S(0x0) 

64: Input vars: const(0x0), 32-to-32C(0x8), and 1-to-32S(0x0) 

65: Input vars: (0x0), const(0xffffffff), and 1-to-32S(0x0) 

66: Input vars: const(0x0), 32-to-32C(0x8), and 1-to-32S(0x0) 

67: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

68: Input vars: const(0x0), 32-to-32C(0xb), and 1-to-32S(0x0) 

69: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

70: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

73: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

74: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

75: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

76: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

78: Input vars: (0x0), const(0xffffffff), and 1-to-32S(0x0) 

80: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

81: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

82: Input vars: const(0x0), 32-to-32C(0x7), and 1-to-32S(0x0) 

83: Input vars: const(0x0), 32-to-32C(0x7), and 1-to-32S(0x0) 

84: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

85: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

86: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

87: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

90: Input vars: const(0x0), 32-to-32C(0xa), and 1-to-32S(0x0) 

93: Input vars: const(0x0), 32-to-32C(0xa), and 1-to-32S(0x0) 

94: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

97: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 
