number of clusters = 364
Input vars: const(0x0), (0xc), const(0x80000002), (0x0), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x4), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), const(0x80000001), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

Input vars: const(0x0), 32-to-32C(0xc), const(0x2), const(0x1), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Cluster 3 (16) : 
Input vars: (0x7), const(0x40), const(0x1), const(0x41), and (0x0) 

Input vars: (0x7), const(0x939c6b40), const(0x3f561a25), const(0x939c6b41), and (0x0) 

Input vars: 32-to-32C(0x7), const(0x78fa8d9e), const(0x200005e0), const(0x78fa8d9f), and (0x0) 

Input vars: (0x7), const(0xadf4b620), const(0x3ba706a2), const(0xadf4b621), and (0x0) 

Input vars: (0x7), const(0x81aa4fc0), const(0x3c9fc6bf), const(0x81aa4fc1), and (0x0) 

Input vars: 32-to-32C(0x7), const(0x40), const(0x2000001), const(0x41), and (0x0) 

Input vars: 32-to-32C(0x7), const(0x80ba2e8c), const(0xb0), const(0x80ba2e8d), and (0x0) 

Input vars: 32-to-32C(0x7), const(0x1ba0c9e0), const(0x20a15e), const(0x1ba0c9e1), and (0x0) 

Input vars: 32-to-32C(0x7), const(0x40), const(0x2000001), const(0x41), and (0x0) 

Input vars: 32-to-32C(0x7), const(0x80000040), const(0x1), const(0x80000041), and (0x0) 

Input vars: (0x7), const(0x15ee9b10), const(0x32b6fd44), const(0x15ee9b11), and (0x0) 

Input vars: 32-to-32C(0x7), const(0x7b99999a), const(0x200000a0), const(0x7b99999b), and (0x0) 

Input vars: 32-to-32C(0x7), const(0x82d9a696), const(0x88d3cc60), const(0x82d9a697), and (0x0) 

Input vars: (0x7), const(0x40), const(0x1), const(0x41), and (0x0) 

Input vars: (0x7), const(0x40), const(0x1), const(0x41), and (0x0) 

Input vars: (0x7), const(0x4b9db94), const(0x42f56ed0), const(0x4b9db95), and (0x0) 

Cluster 4 (1) : 
Input vars: const(0x0), const(0x20), 32-to-32C(0x2), const(0x1), and (0x0) 

Cluster 5 (1) : 
Input vars: const(0x18), const(0x4), (0x1), const(0x5), and (0x0) 

Cluster 6 (112) : 
Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

