number of clusters = 110
Cluster 1 (67) : 
259: Input vars: 32-to-32C(0x2), (0x2), 32-to-32C(0x2), and (0x0) 

323: Input vars: 32-to-32C(0x2), (0x2), 32-to-32C(0x2), and (0x0) 

324: Input vars: 32-to-32C(0x2), (0x2), 32-to-32C(0x2), and (0x0) 

355: Input vars: 32-to-32C(0x2), (0x2), 32-to-32C(0x2), and (0x0) 

Cluster 3 (18) : 
4: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32Z(0x0) 

29: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32S(0x0) 

85: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32S(0x0) 

120: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32S(0x0) 

137: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32Z(0x0) 

172: Input vars: 16-to-32S(0x7), const(0x1), 32-to-32C(0x7), and 16-to-32S(0x0) 

188: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32Z(0x0) 

201: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32S(0x0) 

229: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32S(0x0) 

286: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32Z(0x0) 

287: Input vars: 16-to-32S(0x7), const(0x1), 32-to-32C(0x7), and 16-to-32Z(0x0) 

327: Input vars: 16-to-32S(0x7), const(0x1), 32-to-32C(0x7), and 16-to-32Z(0x0) 

330: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32Z(0x0) 

442: Input vars: 16-to-32S(0x7), const(0x1), 32-to-32C(0x7), and 16-to-32S(0x0) 

462: Input vars: 16-to-32S(0x7), const(0x1), 32-to-32C(0x7), and 16-to-32Z(0x0) 

482: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32Z(0x0) 

537: Input vars: 16-to-32S(0x7), const(0x1), (0x7), and 16-to-32Z(0x0) 

561: Input vars: 16-to-32S(0x7), const(0x1), 32-to-32C(0x7), and 16-to-32Z(0x0) 

Cluster 4 (5) : 
5: Input vars: (0x0), (0x8), (0x0), and (0x0) 

113: Input vars: (0x8), (0x0), (0x8), and (0x0) 

171: Input vars: (0x8), (0x0), (0x8), and (0x0) 

456: Input vars: (0x8), (0x0), (0x8), and (0x0) 

